elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBack_resp_1.rt,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBack_resp_2.rt,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
11.1,right,11.01,0,0,0,0,1,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.211,right,19.085,1,0,1,0,1,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.278,right,19.041,2,0,2,0,1,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.548,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,43.228,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.715,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,left,52.135,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.681,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,3.938,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.954,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,137.226,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292.02,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,left,6.039,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.355,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,23.301,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316.555,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,1.151,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317.521,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,k,0.944,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318.755,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.514,0,0,0,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325.989,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,1.014,0,1,1,2,1,3,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333.722,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.621,0,2,2,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341.056,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.403,0,3,3,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348.189,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.615,0,4,4,9,1,10,BY,B,Y,bothWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.523,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.821,0,5,5,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363.057,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.427,0,6,6,6,1,7,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370.224,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.566,0,7,7,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.524,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.45,0,8,8,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384.691,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.507,0,9,9,4,1,5,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391.924,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.437,1,0,10,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399.091,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.488,1,1,11,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406.292,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.406,1,2,12,6,1,7,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413.425,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.452,1,3,13,4,1,5,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.592,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.894,1,4,14,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428.226,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.494,1,5,15,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.46,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.654,1,6,16,9,1,10,BY,B,Y,bothWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.826,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.432,1,7,17,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.993,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.463,1,8,18,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457.16,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.453,1,9,19,2,1,3,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464.327,,,,,,,,JR,2024-01-21_16h18.11.892,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.439,2,0,20,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
